Grenada,Population,SNA93 Table Code,Sub Group,GDP,SNA93 Item Code,Year,Series,Currency,SNA System,Fiscal Year Type,Value,Year,Value,Value,Year,Item,Value.E,Expenditure ,Value,Year,Industry,Value_I,Year,Value,Year,Commodity,Flow,Trade (USD),Weight (kg),Quantity Name,OID,Year,Description,Magnitude,Value,Year,Commodity,Flow,Trade (USD),Weight (kg),Quantity Name,Quantity
2011,98535,1.3,,"Plus: Current transfers - from and to the rest of the world, net",D5+D61+D62,2017,100,EC dollar,1993,Western calendar year,84502000,2009,6.8811,50187000,2010,Gross National Income (GNI),731137037,Gross capital formation,770154589,2020,Construction (ISIC F),180367972.9,2003,18.64518218,2019,All Commodities,Re-Export,2495279.459,,No Quantity,32878ALDZF...,2008,"CURRENT ACCOUNT, N.I.E.",MILLIONS OF US$,-289464000,2022,Iron or non-alloy steel; ingots (excluding iron of heading no. 7203),Import,1133.333,165,Weight in kilograms,165
2010,98225,1.3,,Plus:  Current transfers - from the rest of the world,D.5-D.7,2017,100,EC dollar,1993,Western calendar year,120232000,2008,11.9168,48137000,2009,Gross National Income (GNI),708233333.3,Gross fixed capital formation (including Acquisitions less disposals of valuables),770154589,2020,"Wholesale, retail trade, restaurants and hotels (ISIC G-H)",243705286.3,2002,14.75884055,2018,All Commodities,Export,37746085.59,,No Quantity,32878BADZF...,2008,"CAPITAL ACCOUNT, N.I.E.:  CREDIT",MILLIONS OF US$,49192900,2022,Iron or non-alloy steel; primary forms (excluding ingots and iron of heading no. 7203),Import,5721.481,472,Weight in kilograms,472
2009,97886,1.3,,Less:  Current transfers - to the rest of the world,D.5-D.7,2017,100,EC dollar,1993,Western calendar year,35730000,2007,9.2204,46796000,2008,Gross National Income (GNI),783266666.7,Exports of goods and services,1138976089,2020,"Transport, storage and communication (ISIC I)",240330150.6,2001,5.128103982,2018,All Commodities,Re-Export,2621228.49,,No Quantity,32878BBDZF...,2008,CAPITAL ACCOUNT:  DEBIT,MILLIONS OF US$,-2037040,2022,"Iron or non-alloy steel; in coils, flat-rolled, of a width 600mm or more, hot-rolled, with patterns in relief",Import,1965737.035,1000887,Weight in kilograms,1000887
2008,97528,1.3,,Equals: GROSS NATIONAL DISPOSABLE INCOME,B.6g,2017,100,EC dollar,1993,Western calendar year,2842370000,2006,7.2554,36781000,2007,Gross National Income (GNI),717592592.6,Imports of goods and services,1586091412,2020,Other Activities (ISIC J-P),1253224235,2000,4.063907991,2018,All Commodities,Import,514805693,,No Quantity,32878BCDZF...,2008,"CAPITAL ACCOUNT, N.I.E.",MILLIONS OF US$,47155900,2022,"Iron or non-alloy steel; in coils, without patterns in relief, flat-rolled, of a width 600mm or more, hot-rolled, pickled, of a thickness of 4.75mm or more",Import,130625.555,67154,Weight in kilograms,67154
2007,97165,1.3,,Less:  Final consumption expenditure / Actual final consumption,P.3/P.4,2017,100,EC dollar,1993,Western calendar year,2397400000,2005,2.0298,33046000,2006,Gross National Income (GNI),669814814.8,Gross Domestic Product (GDP),2817214287,2020,Total Value Added,2246957550,1999,2.473166147,2017,All Commodities,Import,405426843.8,,No Quantity,32878BDDZF...,2008,DIRECT INVESTMENT ABROAD,MILLIONS OF US$,0,2022,"Iron or non-alloy steel; (not in coils), flat-rolled, of a width 600mm or more, hot-rolled, with patterns in relief",Import,31420,13527,Weight in kilograms,13527
2006,96781,1.3,,"Equals: SAVING, GROSS",B.8g,2017,100,EC dollar,1993,Western calendar year,444976000,2004,16.8341,29132000,2005,Gross National Income (GNI),667088888.9,Final consumption expenditure,2541014532,2019,"Agriculture, hunting, forestry, fishing (ISIC A-B)",152240628.5,1998,1.484854484,2017,All Commodities,Export,30518152.07,,No Quantity,32878BEDZF...,2008,"DIR. INVEST. IN REP. ECON., N.I.E.",MILLIONS OF US$,161209000,2022,"Iron or non-alloy steel; (not in coils), flat-rolled, of a width 600mm or more, hot-rolled, without patterns in relief, of a thickness of 4.75mm or more but not exceeding 10mm",Import,7037.407,840,Weight in kilograms,840
2005,96329,1.3,,"Plus: Capital transfers - from and to the rest of the world, net",D.9,2017,100,EC dollar,1993,Western calendar year,133083000,2003,17.1329,25677000,2004,Gross National Income (GNI),533925925.9,Household consumption expenditure (including Non-profit institutions serving households),2156144450,2019,"Mining, Manufacturing, Utilities (ISIC C-E)",220660328.7,1997,0.990883868,2017,All Commodities,Re-Export,2439713.116,,No Quantity,32878BFDZF...,2008,PORTFOLIO INVESTMENT ASSETS,MILLIONS OF US$,-185185,2022,"Iron or non-alloy steel; flat-rolled, hot-rolled, of a width 600mm or more, n.e.c. in heading no. 7208",Import,89864.074,51520,Weight in kilograms,51520
2004,95811,1.3,,Plus: Capital transfers - from the rest of the world,D.9,2017,100,EC dollar,1993,Western calendar year,219483000,2002,20.3991,20362000,2003,Gross National Income (GNI),540525925.9,General government final consumption expenditure,384870082,2019,Manufacturing (ISIC D),111608795,1996,0.298032982,2016,All Commodities,Import,383701223.7,,No Quantity,32878BGDZF...,2008,"PORTFOLIO INVESTMENT LIAB., N.I.E.",MILLIONS OF US$,-4381690,2022,"Iron or non-alloy steel; in coils, flat-rolled, width 600mm or more, cold-rolled, of a thickness of 3mm or more",Import,7259.259,13899,Weight in kilograms,13899
2003,95242,1.3,,Less: Capital transfers - to the rest of the world,D.9,2017,100,EC dollar,1993,Western calendar year,86400000,2001,21.1024,12617000,2002,Gross National Income (GNI),492740740.7,Gross capital formation,865811152,2019,Construction (ISIC F),226972646.9,1995,0,2016,All Commodities,Re-Export,2089870.132,,No Quantity,32878BHDZF...,2008,OTHER INVESTMENT ASSETS,MILLIONS OF US$,86862100,2022,"Iron or non-alloy steel; flat-rolled, width 600mm or more, cold-rolled, n.e.c. in heading no. 7209",Import,4067.407,1000,Weight in kilograms,1000
2002,94838,1.3,,Less: Gross capital formation,P.5,2017,100,EC dollar,1993,Western calendar year,689757000,2000,8.7958,11799000,2001,Gross National Income (GNI),479000000,Gross fixed capital formation (including Acquisitions less disposals of valuables),865811152,2019,"Wholesale, retail trade, restaurants and hotels (ISIC G-H)",398909747.6,1994,0,2016,All Commodities,Export,35105041.93,,No Quantity,32878BIDZF...,2008,"OTHER INVESTMENT LIAB., N.I.E.",MILLIONS OF US$,-23484100,2022,"Iron or non-alloy steel; flat-rolled, width 600mm or more, plated or coated with tin, thickness of less than 0.5mm",Import,2538.889,71,Weight in kilograms,71
