Grenada,Population,SNA93 Table Code,Sub Group,GDP,SNA93 Item Code,Year,Series,Currency,SNA System,Fiscal Year Type,Value,Year,Value,Value,Year,Item,Value.E,Expenditure ,Value,Year,Industry,Value_I,Year,Value,Year,Commodity,Flow,Trade (USD),Weight (kg),Quantity Name,OID,Year,Description,Magnitude,Value,Year,Commodity,Flow,Trade (USD),Weight (kg),Quantity Name,Quantity
,,1.3,,"Plus: Property income - from and to the rest of the world, net",D.4,2009,100,EC dollar,1993,Western calendar year,-170687000,,,,,,,Exports of goods and services,636460000,2000,Total Value Added,1691168653,,,,,,,,,32878CBDZF...,2001,OVERALL BALANCE,MILLIONS OF US$,5839520,2020,"Iron or non-alloy steel; bars and rods, hot-rolled, hot-drawn or hot-extruded, containing indentations, ribs, grooves or other deformations produced during the rolling process or twisted after rolling",Export,444.444,25,Weight in kilograms,25
,,1.3,,Plus: Property income - from the rest of the world,D.4,2009,100,EC dollar,1993,Western calendar year,21468000,,,,,,,Imports of goods and services,837370000,1999,"Agriculture, hunting, forestry, fishing (ISIC A-B)",118453132.3,,,,,,,,,32878CADZF...,2001,NET ERRORS AND OMISSIONS,MILLIONS OF US$,18895500,2020,"Iron or non-alloy steel; bars and rods, hot-rolled, hot-drawn or hot-extruded, including those twisted after rolling, of free-cutting steel",Import,83201.488,109839,Weight in kilograms,109839
,,1.3,,Less:  Property income - to the rest of the world,D.4,2009,100,EC dollar,1993,Western calendar year,192155000,,,,,,,Gross Domestic Product (GDP),1404120000,1999,"Mining, Manufacturing, Utilities (ISIC C-E)",155175542.6,,,,,,,,,32878BSDZF...,2001,OI MON AUTH LIAB,MILLIONS OF US$,0,2020,"Iron or non-alloy steel; bars and rods, hot-rolled, hot-drawn or hot-extruded, n.e.c. in heading no. 7214, of rectangular (other than square) cross-section",Import,18178.15,20659,Weight in kilograms,20659
,,1.3,,"Sum of Compensation of employees and property income - from and to the rest of the world, net",D.1+D.4,2009,100,EC dollar,1993,Western calendar year,-170219000,,,,,,,Final consumption expenditure,717339261,1999,Manufacturing (ISIC D),89737886.69,,,,,,,,,32878BJDZF...,2001,"FINANCIAL ACCOUNT, N.I.E.",MILLIONS OF US$,47292600,2020,"Iron or non-alloy steel; bars and rods, hot-rolled, hot-drawn or hot-extruded, n.e.c. in heading no. 7214, other than of rectangular cross-section",Import,23077.409,32202,Weight in kilograms,32202
,,1.3,,Plus: Sum of Compensation of employees and property income - from the rest of the world,D.1+D.4,2009,100,EC dollar,1993,Western calendar year,21935000,,,,,,,Household consumption expenditure (including Non-profit institutions serving households),566279261,1999,Construction (ISIC F),149203328.1,,,,,,,,,32878BIDZF...,2001,"OTHER INVESTMENT LIAB., N.I.E.",MILLIONS OF US$,-39200000,2020,"Iron or non-alloy steel; bars and rods, n.e.c. in chapter 72, n.e.c. in heading no. 7215",Import,23934.076,31528,Weight in kilograms,31528
,,1.3,,Less: Sum of Compensation of employees and property income - to the rest of the world,D.1+D.4,2009,100,EC dollar,1993,Western calendar year,192155000,,,,,,,General government final consumption expenditure,151060000,1999,"Wholesale, retail trade, restaurants and hotels (ISIC G-H)",250760932.9,,,,,,,,,32878BHDZF...,2001,OTHER INVESTMENT ASSETS,MILLIONS OF US$,28000000,2020,"Iron or non-alloy steel; L sections, hot-rolled, hot-drawn or extruded, of a height of less than 80mm",Import,184.074,257,Weight in kilograms,257
,,1.3,,Equals: GROSS NATIONAL INCOME,B.5*g,2009,100,EC dollar,1993,Western calendar year,1912230000,,,,,,,Gross capital formation,449205049,1999,"Transport, storage and communication (ISIC I)",217091600.5,,,,,,,,,32878BGDZF...,2001,"PORTFOLIO INVESTMENT LIAB., N.I.E.",MILLIONS OF US$,166700,2020,"Iron or non-alloy steel; U sections, hot-rolled, hot-drawn or extruded, of a height of 80mm or more",Import,11613.334,678,Weight in kilograms,678
,,1.3,,"Plus: Current transfers - from and to the rest of the world, net",D5+D61+D62,2009,100,EC dollar,1993,Western calendar year,106983000,,,,,,,Gross fixed capital formation (including Acquisitions less disposals of valuables),449205049,1999,Other Activities (ISIC J-P),680091433.3,,,,,,,,,32878BFDZF...,2001,PORTFOLIO INVESTMENT ASSETS,MILLIONS OF US$,-422222,2020,"Iron or non-alloy steel; I sections, hot-rolled, hot-drawn or extruded, of a height of 80mm or more",Import,1494.074,1560,Weight in kilograms,1560
,,1.3,,Plus:  Current transfers - from the rest of the world,D.5-D.7,2009,100,EC dollar,1993,Western calendar year,147957000,,,,,,,Exports of goods and services,588650000,1999,Total Value Added,1574805550,,,,,,,,,32878BEDZF...,2001,"DIR. INVEST. IN REP. ECON., N.I.E.",MILLIONS OF US$,58748100,2020,"Iron or non-alloy steel; H sections, hot-rolled, hot-drawn or extruded, of a height of 80mm or more",Import,32185.558,20502,Weight in kilograms,20502
,,1.3,,Less:  Current transfers - to the rest of the world,D.5-D.7,2009,100,EC dollar,1993,Western calendar year,40974000,,,,,,,Imports of goods and services,718980000,1998,"Agriculture, hunting, forestry, fishing (ISIC A-B)",107664271.3,,,,,,,,,32878BDDZF...,2001,DIRECT INVESTMENT ABROAD,MILLIONS OF US$,0,2020,"Iron or non-alloy steel; L or T sections, hot-rolled, hot-drawn or extruded, of a height of 80mm or more",Import,1548.148,6479,Weight in kilograms,6479
,,1.3,,Equals: GROSS NATIONAL DISPOSABLE INCOME,B.6g,2009,100,EC dollar,1993,Western calendar year,2019210000,,,,,,,Gross Domestic Product (GDP),1025767127,1998,"Mining, Manufacturing, Utilities (ISIC C-E)",143701220.2,,,,,,,,,32878BCDZF...,2001,"CAPITAL ACCOUNT, N.I.E.",MILLIONS OF US$,42525900,2020,"Iron or non-alloy steel; angles, shapes and sections, n.e.c. in heading no. 7216, hot-rolled, hot-drawn or extruded",Import,247337.057,128796,Weight in kilograms,128796
,,1.3,,Less:  Final consumption expenditure / Actual final consumption,P.3/P.4,2009,100,EC dollar,1993,Western calendar year,2053340000,,,,,,,Final consumption expenditure,810547812,1998,Manufacturing (ISIC D),80765794.07,,,,,,,,,32878BBDZF...,2001,CAPITAL ACCOUNT:  DEBIT,MILLIONS OF US$,-2037040,2020,"Iron or non-alloy steel; angles, shapes and sections, cold-formed or cold-finished, obtained from flat-rolled products",Import,2421.111,1261,Weight in kilograms,1261
,,1.3,,"Equals: SAVING, GROSS",B.8g,2009,100,EC dollar,1993,Western calendar year,-34126000,,,,,,,Household consumption expenditure (including Non-profit institutions serving households),659717812,1998,Construction (ISIC F),137850325.4,,,,,,,,,32878BADZF...,2001,"CAPITAL ACCOUNT, N.I.E.:  CREDIT",MILLIONS OF US$,44563000,2020,"Iron or non-alloy steel; angles, shapes and sections, cold-formed or cold-finished, obtained from flat-rolled products",Export,31.481,17,Weight in kilograms,17
,,1.3,,"Plus: Capital transfers - from and to the rest of the world, net",D.9,2009,100,EC dollar,1993,Western calendar year,104422000,,,,,,,General government final consumption expenditure,150830000,1998,"Wholesale, retail trade, restaurants and hotels (ISIC G-H)",232862251.4,,,,,,,,,32878ALDZF...,2001,"CURRENT ACCOUNT, N.I.E.",MILLIONS OF US$,-102875000,2020,"Iron or non-alloy steel; angles, shapes and sections, cold-formed or cold-finished, obtained from flat-rolled products",Re-Export,31.481,17,Weight in kilograms,17
,,1.3,,Plus: Capital transfers - from the rest of the world,D.9,2009,100,EC dollar,1993,Western calendar year,109997000,,,,,,,Gross capital formation,377798035,1998,"Transport, storage and communication (ISIC I)",201401798.1,,,,,,,,,32878AKDZF...,2001,CURRENT TRANSFERS: DEB,MILLIONS OF US$,-9355560,2020,"Iron or non-alloy steel; angles, shapes and sections, cold-formed or cold-finished, (not obtained from flat-rolled products)",Import,760,47,Weight in kilograms,47
,,1.3,,Less: Capital transfers - to the rest of the world,D.9,2009,100,EC dollar,1993,Western calendar year,5576000,,,,,,,Gross fixed capital formation (including Acquisitions less disposals of valuables),377798035,1998,Other Activities (ISIC J-P),626650962.5,,,,,,,,,32878AJDZF...,2001,"CURRENT TRANSFERS, N.I.E. : CRE",MILLIONS OF US$,31000400,2020,"Iron or non-alloy steel; angles, shapes and sections, n.e.c. in heading no. 7216, cold-formed or cold-finished, from flat-rolled products",Import,95112.971,88912,Weight in kilograms,88912
,,1.3,,Less: Gross capital formation,P.5,2009,100,EC dollar,1993,Western calendar year,498220000,,,,,,,Exports of goods and services,447440000,1998,Total Value Added,1453719207,,,,,,,,,32878AIDZF...,2001,"BALANCE ON GOODS, SERV. & INC.",MILLIONS OF US$,-124519000,2020,"Iron or non-alloy steel; angles, shapes and sections, n.e.c. in heading no. 7216, cold-formed or cold-finished, from flat-rolled products",Export,465.926,60,Weight in kilograms,60
,,1.3,,Equals: NET LENDING (+) / NET BORROWING (-) OF THE NATION,B.9,2009,100,EC dollar,1993,Western calendar year,-427925000,,,,,,,Imports of goods and services,683560000,1997,"Agriculture, hunting, forestry, fishing (ISIC A-B)",108969539.7,,,,,,,,,32878AHDZF...,2001,INCOME: DEBIT,MILLIONS OF US$,-45177800,2020,"Iron or non-alloy steel; angles, shapes and sections, n.e.c. in heading no. 7216",Import,10066.667,18795,Weight in kilograms,18795
,,1.3,,GROSS DOMESTIC PRODUCT,B.1*g,2008,100,EC dollar,1993,Western calendar year,2230140000,,,,,,,Gross Domestic Product (GDP),952976173,1997,"Mining, Manufacturing, Utilities (ISIC C-E)",126720265,,,,,,,,,32878AFDZF...,2001,BALANCE ON GOODS AND SERVICES,MILLIONS OF US$,-83074900,2020,"Iron or non-alloy steel; wire, (not plated or coated), whether or not polished",Import,4656.297,3667,Weight in kilograms,3667
,,1.3,,"Plus: Compensation of employees - from and to the rest of the world, net",D.1,2008,100,EC dollar,1993,Western calendar year,513000,,,,,,,Final consumption expenditure,724184179,1997,Manufacturing (ISIC D),70759112.83,,,,,,,,,32878AGDZF...,2001,INCOME: CREDIT,MILLIONS OF US$,3733330,2020,"Iron or non-alloy steel; wire, plated or coated with zinc",Import,23342.224,5866,Weight in kilograms,5866
,,1.3,,Plus: Compensation of employees - from the rest of the world,D.1,2008,100,EC dollar,1993,Western calendar year,513000,,,,,,,Household consumption expenditure (including Non-profit institutions serving households),586684179,1997,Construction (ISIC F),114959074,,,,,,,,,32878ADDZF...,2001,SERVICES: CREDIT,MILLIONS OF US$,133529000,2020,"Iron or non-alloy steel; wire, plated or coated with base metals (other than zinc)",Import,523.333,9083,Weight in kilograms,9083
,,1.3,,"Plus: Property income - from and to the rest of the world, net",D.4,2008,100,EC dollar,1993,Western calendar year,-115834000,,,,,,,General government final consumption expenditure,137500000,1997,"Wholesale, retail trade, restaurants and hotels (ISIC G-H)",223514276,,,,,,,,,32878AEDZF...,2001,SERVICES: DEBIT,MILLIONS OF US$,-83377100,2020,"Iron or non-alloy steel; wire, n.e.c. in heading no. 7217",Import,25867.78,29402,Weight in kilograms,29402
,,1.3,,Plus: Property income - from the rest of the world,D.4,2008,100,EC dollar,1993,Western calendar year,21310000,,,,,,,Gross capital formation,341874814,1997,"Transport, storage and communication (ISIC I)",177497052.4,,,,,,,,,32878ABDZF...,2001,GOODS IMPORTS: F.O.B,MILLIONS OF US$,-196831000,2020,"Steel, stainless; flat-rolled, width 600mm or more, hot-rolled, in coils, of a thickness exceeding 10mm",Import,3814.074,5014,Weight in kilograms,5014
,,1.3,,Less:  Property income - to the rest of the world,D.4,2008,100,EC dollar,1993,Western calendar year,137144000,,,,,,,Gross fixed capital formation (including Acquisitions less disposals of valuables),341874814,1997,Other Activities (ISIC J-P),521335248.9,,,,,,,,,32878ACDZF...,2001,TRADE BALANCE,MILLIONS OF US$,-133226000,2020,"Steel, stainless; flat-rolled, width 600mm or more, hot-rolled, (not in coils), of a thickness of 4.75mm or more but not exceeding 10mm",Import,4135.556,2866,Weight in kilograms,2866
,,1.3,,"Sum of Compensation of employees and property income - from and to the rest of the world, net",D.1+D.4,2008,100,EC dollar,1993,Western calendar year,-115322000,,,,,,,Exports of goods and services,375140000,1997,Total Value Added,1276614635,,,,,,,,,32878AADZF...,2001,GOODS EXPORTS: F.O.B.,MILLIONS OF US$,63604500,2020,"Steel, stainless; flat-rolled, width 600mm or more, cold-rolled, of a thickness of 0.5mm or more but not exceeding 1mm",Import,138.889,1,Weight in kilograms,1
,,1.3,,Plus: Sum of Compensation of employees and property income - from the rest of the world,D.1+D.4,2008,100,EC dollar,1993,Western calendar year,21823000,,,,,,,Imports of goods and services,574030000,1996,"Agriculture, hunting, forestry, fishing (ISIC A-B)",109948491.1,,,,,,,,,32878AADZF...,2000,GOODS EXPORTS: F.O.B.,MILLIONS OF US$,82963000,2020,"Steel, stainless; flat-rolled, width 600mm or more, n.e.c. in heading no. 7219",Import,7050.741,1832,Weight in kilograms,1832
,,1.3,,Less: Sum of Compensation of employees and property income - to the rest of the world,D.1+D.4,2008,100,EC dollar,1993,Western calendar year,137144000,,,,,,,Gross Domestic Product (GDP),867317979,1996,"Mining, Manufacturing, Utilities (ISIC C-E)",118374265.4,,,,,,,,,32878ACDZF...,2000,TRADE BALANCE,MILLIONS OF US$,-137978000,2020,"Steel, stainless; flat-rolled, width less than 600mm, n.e.c. in heading no 7220",Import,4962.963,1020,Weight in kilograms,1020
,,1.3,,Equals: GROSS NATIONAL INCOME,B.5*g,2008,100,EC dollar,1993,Western calendar year,2114820000,,,,,,,Final consumption expenditure,665705651,1996,Manufacturing (ISIC D),67197412.82,,,,,,,,,32878ABDZF...,2000,GOODS IMPORTS: F.O.B,MILLIONS OF US$,-220941000,2020,"Steel, stainless; bars and rods, hot-rolled, hot-drawn or extruded, other than of circular cross-section",Import,190.37,22,Weight in kilograms,22
,,1.3,,"Plus: Current transfers - from and to the rest of the world, net",D5+D61+D62,2008,100,EC dollar,1993,Western calendar year,93681000,,,,,,,Household consumption expenditure (including Non-profit institutions serving households),535405651,1996,Construction (ISIC F),104982193,,,,,,,,,32878AEDZF...,2000,SERVICES: DEBIT,MILLIONS OF US$,-89197800,2020,"Steel, stainless; bars and rods, cold-formed or cold-finished",Import,52958.152,84117,Weight in kilograms,84117
,,1.3,,Plus:  Current transfers - from the rest of the world,D.5-D.7,2008,100,EC dollar,1993,Western calendar year,132769000,,,,,,,General government final consumption expenditure,130300000,1996,"Wholesale, retail trade, restaurants and hotels (ISIC G-H)",218866997,,,,,,,,,32878ADDZF...,2000,SERVICES: CREDIT,MILLIONS OF US$,152764000,2020,"Steel, stainless; bars and rods, n.e.c. in heading no. 7222",Import,483924.483,575308,Weight in kilograms,575308
,,1.3,,Less:  Current transfers - to the rest of the world,D.5-D.7,2008,100,EC dollar,1993,Western calendar year,39088000,,,,,,,Gross capital formation,308038875,1996,"Transport, storage and communication (ISIC I)",163102400.1,,,,,,,,,32878AGDZF...,2000,INCOME: CREDIT,MILLIONS OF US$,5081480,2020,"Steel, stainless; bars and rods, n.e.c. in heading no. 7222",Export,3.704,1,Weight in kilograms,1
,,1.3,,Equals: GROSS NATIONAL DISPOSABLE INCOME,B.6g,2008,100,EC dollar,1993,Western calendar year,2208500000,,,,,,,Gross fixed capital formation (including Acquisitions less disposals of valuables),308038875,1996,Other Activities (ISIC J-P),508222868.5,,,,,,,,,32878AFDZF...,2000,BALANCE ON GOODS AND SERVICES,MILLIONS OF US$,-74411100,2020,"Steel, stainless; bars and rods, n.e.c. in heading no. 7222",Re-Export,3.704,1,Weight in kilograms,1
,,1.3,,Less:  Final consumption expenditure / Actual final consumption,P.3/P.4,2008,100,EC dollar,1993,Western calendar year,2196200000,,,,,,,Exports of goods and services,355360000,1996,Total Value Added,1226396354,,,,,,,,,32878AHDZF...,2000,INCOME: DEBIT,MILLIONS OF US$,-38829600,2020,"Steel, stainless; angles, shapes and sections",Import,1083.704,428,Weight in kilograms,428
,,1.3,,"Equals: SAVING, GROSS",B.8g,2008,100,EC dollar,1993,Western calendar year,12300000,,,,,,,Imports of goods and services,524050000,1995,"Agriculture, hunting, forestry, fishing (ISIC A-B)",119248530.5,,,,,,,,,32878AIDZF...,2000,"BALANCE ON GOODS, SERV. & INC.",MILLIONS OF US$,-108159000,2020,"Steel, stainless; angles, shapes and sections",Export,416.296,11,Weight in kilograms,11
,,1.3,,"Plus: Capital transfers - from and to the rest of the world, net",D.9,2008,100,EC dollar,1993,Western calendar year,110699000,,,,,,,Gross Domestic Product (GDP),805553228,1995,"Mining, Manufacturing, Utilities (ISIC C-E)",112469426.5,,,,,,,,,32878AJDZF...,2000,"CURRENT TRANSFERS, N.I.E. : CRE",MILLIONS OF US$,30311100,2020,"Steel, stainless; angles, shapes and sections",Re-Export,416.296,11,Weight in kilograms,11
,,1.3,,Plus: Capital transfers - from the rest of the world,D.9,2008,100,EC dollar,1993,Western calendar year,116894000,,,,,,,Final consumption expenditure,623030058,1995,Manufacturing (ISIC D),63533948.53,,,,,,,,,32878AKDZF...,2000,CURRENT TRANSFERS: DEB,MILLIONS OF US$,-10248100,2020,"Steel, stainless; wire",Import,6346.667,827,Weight in kilograms,827
,,1.3,,Less: Capital transfers - to the rest of the world,D.9,2008,100,EC dollar,1993,Western calendar year,6195000,,,,,,,Household consumption expenditure (including Non-profit institutions serving households),522443737,1995,Construction (ISIC F),99577607.15,,,,,,,,,32878ALDZF...,2000,"CURRENT ACCOUNT, N.I.E.",MILLIONS OF US$,-88096300,2020,"Steel, alloy; ingots and other primary forms",Import,1359.259,350,Weight in kilograms,350
,,1.3,,Less: Gross capital formation,P.5,2008,100,EC dollar,1993,Western calendar year,692560000,,,,,,,General government final consumption expenditure,100586321,1995,"Wholesale, retail trade, restaurants and hotels (ISIC G-H)",210478933.3,,,,,,,,,32878BADZF...,2000,"CAPITAL ACCOUNT, N.I.E.:  CREDIT",MILLIONS OF US$,34214800,2020,"Steel, alloy; flat-rolled, width 600mm or more, n.e.c. in heading no. 7225, (other than plated or coated with zinc)",Import,748.889,18,Weight in kilograms,18
,,1.3,,Equals: NET LENDING (+) / NET BORROWING (-) OF THE NATION,B.9,2008,100,EC dollar,1993,Western calendar year,-569562000,,,,,,,Gross capital formation,227982109,1995,"Transport, storage and communication (ISIC I)",154196709.9,,,,,,,,,32878BBDZF...,2000,CAPITAL ACCOUNT:  DEBIT,MILLIONS OF US$,-2081480,2020,"Steel, alloy; flat-rolled, width less than 600mm, of silicon-electrical steel, other than grain-oriented",Import,66.667,10,Weight in kilograms,10
,,1.3,,GROSS DOMESTIC PRODUCT,B.1*g,2007,100,EC dollar,1993,Western calendar year,2048450000,,,,,,,Gross fixed capital formation (including Acquisitions less disposals of valuables),227982109,1995,Other Activities (ISIC J-P),494345292.8,,,,,,,,,32878BCDZF...,2000,"CAPITAL ACCOUNT, N.I.E.",MILLIONS OF US$,32133300,2020,"Steel, alloy; flat-rolled, width less than 600mm, n.e.c. in item no. 7226.9",Import,65.185,1,Weight in kilograms,1
,,1.3,,"Plus: Compensation of employees - from and to the rest of the world, net",D.1,2007,100,EC dollar,1993,Western calendar year,670230,,,,,,,Exports of goods and services,271721302,1995,Total Value Added,1193944144,,,,,,,,,32878BDDZF...,2000,DIRECT INVESTMENT ABROAD,MILLIONS OF US$,0,2020,"Steel, alloy; bars and rods, hot-rolled, in irregularly wound coils, n.e.c. in heading no. 7227",Import,44321.855,42730,Weight in kilograms,42730
,,1.3,,Plus: Compensation of employees - from the rest of the world,D.1,2007,100,EC dollar,1993,Western calendar year,670230,,,,,,,Imports of goods and services,371494476,1994,"Agriculture, hunting, forestry, fishing (ISIC A-B)",111600471.8,,,,,,,,,32878BEDZF...,2000,"DIR. INVEST. IN REP. ECON., N.I.E.",MILLIONS OF US$,37407400,2020,"Steel, alloy; bars and rods n.e.c. in heading no. 7228",Import,57695.931,68088,Weight in kilograms,68088
,,1.3,,"Plus: Property income - from and to the rest of the world, net",D.4,2007,100,EC dollar,1993,Western calendar year,-111618929,,,,,,,Gross Domestic Product (GDP),751238993,1994,"Mining, Manufacturing, Utilities (ISIC C-E)",103838392.5,,,,,,,,,32878BFDZF...,2000,PORTFOLIO INVESTMENT ASSETS,MILLIONS OF US$,-70370.4,2020,"Steel, alloy; bars and rods n.e.c. in heading no. 7228",Export,181.111,200,Weight in kilograms,200
,,1.3,,Plus: Property income - from the rest of the world,D.4,2007,100,EC dollar,1993,Western calendar year,36211468,,,,,,,Final consumption expenditure,575848055,1994,Manufacturing (ISIC D),58988541.31,,,,,,,,,32878BGDZF...,2000,"PORTFOLIO INVESTMENT LIAB., N.I.E.",MILLIONS OF US$,19519000,2020,"Steel, alloy; bars and rods n.e.c. in heading no. 7228",Re-Export,181.111,200,Weight in kilograms,200
,,1.3,,Less:  Property income - to the rest of the world,D.4,2007,100,EC dollar,1993,Western calendar year,147830397,,,,,,,Household consumption expenditure (including Non-profit institutions serving households),472903606,1994,Construction (ISIC F),97157357.19,,,,,,,,,32878BHDZF...,2000,OTHER INVESTMENT ASSETS,MILLIONS OF US$,25320000,2020,"Steel, alloy or non-alloy; hollow drill bars and rods",Import,30.37,65,Weight in kilograms,65
,,1.3,,"Sum of Compensation of employees and property income - from and to the rest of the world, net",D.1+D.4,2007,100,EC dollar,1993,Western calendar year,-110948699,,,,,,,General government final consumption expenditure,102944448,1994,"Wholesale, retail trade, restaurants and hotels (ISIC G-H)",211615040.5,,,,,,,,,32878BIDZF...,2000,"OTHER INVESTMENT LIAB., N.I.E.",MILLIONS OF US$,-18430000,2020,"Steel, alloy; wire, of silico-manganese steel",Import,796.296,353,Weight in kilograms,353
,,1.3,,Plus: Sum of Compensation of employees and property income - from the rest of the world,D.1+D.4,2007,100,EC dollar,1993,Western calendar year,36881698,,,,,,,Gross capital formation,215101856,1994,"Transport, storage and communication (ISIC I)",146721852,,,,,,,,,32878BJDZF...,2000,"FINANCIAL ACCOUNT, N.I.E.",MILLIONS OF US$,63746000,2020,"Steel, alloy; wire, of materials other than silico-manganese steel",Import,508.148,51,Weight in kilograms,51
,,1.3,,Less: Sum of Compensation of employees and property income - to the rest of the world,D.1+D.4,2007,100,EC dollar,1993,Western calendar year,147830397,,,,,,,Gross fixed capital formation (including Acquisitions less disposals of valuables),215101856,1994,Other Activities (ISIC J-P),482157745,,,,,,,,,32878BSDZF...,2000,OI MON AUTH LIAB,MILLIONS OF US$,0,2019,Ferro-alloys; n.e.c. in heading no. 7202,Import,18.889,2,Weight in kilograms,2
,,1.3,,Equals: GROSS NATIONAL INCOME,B.5*g,2007,100,EC dollar,1993,Western calendar year,1937500000,,,,,,,Exports of goods and services,278315927,1994,Total Value Added,1156023214,,,,,,,,,32878CADZF...,2000,NET ERRORS AND OMISSIONS,MILLIONS OF US$,-1182550,2019,Ferrous waste and scrap; of cast iron,Export,118798.528,735110,Weight in kilograms,735110
,,1.3,,"Plus: Current transfers - from and to the rest of the world, net",D5+D61+D62,2007,100,EC dollar,1993,Western calendar year,70810408,,,,,,,Imports of goods and services,355483606,1993,"Agriculture, hunting, forestry, fishing (ISIC A-B)",118922213.4,,,,,,,,,32878CBDZF...,2000,OVERALL BALANCE,MILLIONS OF US$,6600540,2019,Ferrous waste and scrap; of stainless steel,Export,11619.26,19548,Weight in kilograms,19548
,,1.3,,Plus:  Current transfers - from the rest of the world,D.5-D.7,2007,100,EC dollar,1993,Western calendar year,109558030,,,,,,,Gross Domestic Product (GDP),713782231,1993,"Mining, Manufacturing, Utilities (ISIC C-E)",93997787.25,,,,,,,,,32878CBDZF...,1999,OVERALL BALANCE,MILLIONS OF US$,4662340,2019,Ferrous waste and scrap; of alloy steel (excluding stainless),Export,83023.34,64543,Weight in kilograms,64543
,,1.3,,Less:  Current transfers - to the rest of the world,D.5-D.7,2007,100,EC dollar,1993,Western calendar year,38747622,,,,,,,Final consumption expenditure,584614627,1993,Manufacturing (ISIC D),54833223.41,,,,,,,,,32878CADZF...,1999,NET ERRORS AND OMISSIONS,MILLIONS OF US$,1655160,2019,Ferrous waste and scrap; of tinned iron or steel,Re-Export,142.593,12964,Weight in kilograms,12964
,,1.3,,Equals: GROSS NATIONAL DISPOSABLE INCOME,B.6g,2007,100,EC dollar,1993,Western calendar year,2008310000,,,,,,,Household consumption expenditure (including Non-profit institutions serving households),484028306,1993,Construction (ISIC F),96100254.27,,,,,,,,,32878BSDZF...,1999,OI MON AUTH LIAB,MILLIONS OF US$,0,2019,Ferrous waste and scrap; of tinned iron or steel,Export,17711.853,36964,Weight in kilograms,36964
,,1.3,,Less:  Final consumption expenditure / Actual final consumption,P.3/P.4,2007,100,EC dollar,1993,Western calendar year,1935520000,,,,,,,General government final consumption expenditure,100586321,1993,"Wholesale, retail trade, restaurants and hotels (ISIC G-H)",190427625.9,,,,,,,,,32878BJDZF...,1999,"FINANCIAL ACCOUNT, N.I.E.",MILLIONS OF US$,27573900,2019,Ferrous waste and scrap; n.e.c. in heading no. 7204,Export,18.519,10,Weight in kilograms,10
,,1.3,,"Equals: SAVING, GROSS",B.8g,2007,100,EC dollar,1993,Western calendar year,72791709,,,,,,,Gross capital formation,202920909,1993,"Transport, storage and communication (ISIC I)",137914839.9,,,,,,,,,32878BIDZF...,1999,"OTHER INVESTMENT LIAB., N.I.E.",MILLIONS OF US$,-32880000,2019,Ferrous products; remelting scrap ingots,Export,1111.111,360,Weight in kilograms,360
,,1.3,,"Plus: Capital transfers - from and to the rest of the world, net",D.9,2007,100,EC dollar,1993,Western calendar year,104840961,,,,,,,Gross fixed capital formation (including Acquisitions less disposals of valuables),202920909,1993,Other Activities (ISIC J-P),482426037.3,,,,,,,,,32878BHDZF...,1999,OTHER INVESTMENT ASSETS,MILLIONS OF US$,18510000,2019,Iron or non-alloy steel; primary forms (excluding ingots and iron of heading no. 7203),Import,114.074,862,Weight in kilograms,862
,,1.3,,Plus: Capital transfers - from the rest of the world,D.9,2007,100,EC dollar,1993,Western calendar year,110343401,,,,,,,Exports of goods and services,242439868,1993,Total Value Added,1124126458,,,,,,,,,32878BGDZF...,1999,"PORTFOLIO INVESTMENT LIAB., N.I.E.",MILLIONS OF US$,752000,2019,"Iron or non-alloy steel; in coils, flat-rolled, of a width 600mm or more, hot-rolled, with patterns in relief",Import,720258.576,595315,Weight in kilograms,595315
,,1.3,,Less: Capital transfers - to the rest of the world,D.9,2007,100,EC dollar,1993,Western calendar year,5502440,,,,,,,Imports of goods and services,349783443,1992,"Agriculture, hunting, forestry, fishing (ISIC A-B)",124041314.7,,,,,,,,,32878BFDZF...,1999,PORTFOLIO INVESTMENT ASSETS,MILLIONS OF US$,-360000,2019,"Iron or non-alloy steel; in coils, without patterns in relief, flat-rolled, of a width 600mm or more, hot-rolled, pickled, of a thickness of 3mm or more but less than 4.75mm",Import,40.37,1,Weight in kilograms,1
,,1.3,,Less: Gross capital formation,P.5,2007,100,EC dollar,1993,Western calendar year,725390000,,,,,,,Gross Domestic Product (GDP),680191961,1992,"Mining, Manufacturing, Utilities (ISIC C-E)",100976111.8,,,,,,,,,32878BEDZF...,1999,"DIR. INVEST. IN REP. ECON., N.I.E.",MILLIONS OF US$,41551900,2019,"Iron or non-alloy steel; (not in coils), flat-rolled, of a width 600mm or more, hot-rolled, with patterns in relief",Import,48918.893,31252,Weight in kilograms,31252
,,1.3,,Equals: NET LENDING (+) / NET BORROWING (-) OF THE NATION,B.9,2007,100,EC dollar,1993,Western calendar year,-547757330,,,,,,,Final consumption expenditure,571352447,1992,Manufacturing (ISIC D),62635043.66,,,,,,,,,32878BDDZF...,1999,DIRECT INVESTMENT ABROAD,MILLIONS OF US$,0,2019,"Iron or non-alloy steel; flat-rolled, hot-rolled, of a width 600mm or more, n.e.c. in heading no. 7208",Import,12628.89,5551,Weight in kilograms,5551
